Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor	Brand
17	Guardians of the Galaxy	$333,176,600	4,088	$94,320,883	4,080	August 1, 2014	Walt Disney Studios Motion Pictures	Marvel Comics
18	Iron Man	$318,604,126	4,154	$98,618,668	4,105	May 2, 2008	Paramount Pictures	Marvel Comics
19	Deadpool 2	$318,491,426	4,349	$125,507,153	4,349	May 18, 2018	Twentieth Century Fox	Marvel Comics
20	Thor: Ragnarok	$315,058,289	4,080	$122,744,989	4,080	November 3, 2017	Walt Disney Studios Motion Pictures	Marvel Comics
21	Iron Man 2	$312,433,331	4,390	$128,122,480	4,380	May 7, 2010	Paramount Pictures	Marvel Comics
22	The Amazing Spider-Man	$262,030,663	4,318	$62,004,688	4,318	Jul 3, 2012	Sony Pictures Entertainment (SPE)	Marvel Comics
23	Captain America: The Winter Soldier	$259,766,572	3,938	$95,023,721	3,938	April 4, 2014	Walt Disney Studios Motion Pictures	Marvel Comics
24	X-Men: The Last Stand	$234,362,462	3,714	$102,750,665	3,690	May 26, 2006	Twentieth Century Fox	Marvel Comics
25	X-Men: Days of Future Past	$233,921,534	4,001	$90,823,660	3,996	May 23, 2014	Twentieth Century Fox	Marvel Comics
26	Doctor Strange	$232,641,920	3,882	$85,058,311	3,882	Nov 4, 2016	Walt Disney Studios Motion Pictures	Marvel Comics
27	Logan	$226,277,068	4,071	$88,411,916	4,071	Mar 3, 2017	Twentieth Century Fox	Marvel Comics
28	Shang-Chi and the Legend of the Ten Rings	$224,543,292	4,300	$75,388,688	4,300	Sep 3, 2021	Walt Disney Studios Motion Pictures	Marvel Comics
29	Big Hero 6	$222,527,828	3,773	$56,215,889	3,761	November 7, 2014	Walt Disney Studios Motion Pictures	Marvel Comics
30	Ant-Man and the Wasp	$216,648,740	4,206	$75,812,205	4,206	Jul 6, 2018	Walt Disney Studios Motion Pictures	Marvel Comics
31	X2: X-Men United	$214,949,694	3,749	$85,558,731	3,741	May 2, 2003	Twentieth Century Fox	Marvel Comics
32	Venom: Let There Be Carnage	$213,550,366	4,225	$90,033,210	4,225	October 1, 2021	Sony Pictures Entertainment (SPE)	Marvel Comics
33	Venom	$213,515,506	4,250	$80,255,756	4,250	Oct 5, 2018	Sony Pictures Entertainment (SPE)	Marvel Comics
34	Thor: The Dark World	$206,362,140	3,841	$85,737,841	3,841	November 8, 2013	Walt Disney Studios Motion Pictures	Marvel Comics
35	The Amazing Spider-Man 2	$202,853,933	4,324	$91,608,337	4,324	May 2, 2014	Sony Pictures Entertainment (SPE)	Marvel Comics
36	Spider-Man: Into the Spider-Verse	$190,241,310	3,813	$35,363,376	3,813	December 14, 2018	Sony Pictures Entertainment (SPE)	Marvel Comics
37	Black Widow	$183,651,655	4,275	$80,366,312	4,160	Jul 9, 2021	Walt Disney Studios Motion Pictures	Marvel Comics
38	Thor	$181,030,624	3,963	$65,723,338	3,955	May 6, 2011	Paramount Pictures	Marvel Comics
39	Ant-Man	$180,202,163	3,868	$57,225,526	3,856	July 17, 2015	Walt Disney Studios Motion Pictures	Marvel Comics
40	X-Men Origins: Wolverine	$179,883,157	4,102	$85,058,003	4,099	May 1, 2009	Twentieth Century Fox	Marvel Comics
41	Captain America: The First Avenger	$176,654,505	3,715	$65,058,524	3,715	Jul 22, 2011	Paramount Pictures	Marvel Comics
42	Eternals	$164,870,234	4,090	$71,297,219	4,090	Nov 5, 2021	Walt Disney Studios Motion Pictures	Marvel Comics
43	X-Men	$157,299,718	3,112	$54,471,475	3,025	Jul 14, 2000	Twentieth Century Fox	Marvel Comics
44	X-Men: Apocalypse	$155,442,489	4,153	$65,769,562	4,150	May 27, 2016	Twentieth Century Fox	Marvel Comics
45	Fantastic Four	$154,696,080	3,619	$56,061,504	3,602	Jul 8, 2005	Twentieth Century Fox	Marvel Comics
46	X-Men: First Class	$146,408,305	3,692	$55,101,604	3,641	Jun 3, 2011	Twentieth Century Fox	Marvel Comics
47	The Incredible Hulk	$134,806,913	3,508	$55,414,050	3,505	Jun 13, 2008	Universal Pictures	Marvel Comics
48	The Wolverine	$132,556,852	3,924	$53,113,752	3,924	Jul 26, 2013	Twentieth Century Fox	Marvel Comics
49	Hulk	$132,177,234	3,674	$62,128,420	3,660	Jun 20, 2003	Universal Pictures	Marvel Comics
50	Fantastic 4: Rise of the Silver Surfer	$131,921,738	3,963	$58,051,684	3,959	Jun 15, 2007	Twentieth Century Fox	Marvel Comics
51	Ghost Rider	$115,802,596	3,620	$45,388,836	3,619	Feb 16, 2007	Sony Pictures Entertainment (SPE)	Marvel Comics
52	Daredevil	$102,543,518	3,474	$40,310,419	3,471	Feb 14, 2003	Twentieth Century Fox	Marvel Comics
53	Blade II	$82,348,319	2,707	$32,528,016	2,707	Mar 22, 2002	New Line Cinema	Marvel Comics
54	Blade	$70,087,718	2,389	$17,073,856	2,322	Aug 21, 1998	New Line Cinema	Marvel Comics
55	Morbius	$67,558,104	4,268	$39,005,895	4,268	Apr 1, 2022	Columbia Pictures	Marvel Comics
56	X-Men: Dark Phoenix	$65,845,974	3,721	$32,828,348	3,721	Jun 7, 2019	Twentieth Century Fox	Marvel Comics
57	Fantastic Four	$56,117,548	4,004	$25,685,737	3,995	Aug 7, 2015	Twentieth Century Fox	Marvel Comics
58	Blade: Trinity	$52,411,906	2,912	$16,100,000	2,912	Dec 8, 2004	New Line Cinema	Marvel Comics
59	Ghost Rider: Spirit of Vengeance	$51,774,002	3,174	$22,115,334	3,174	Feb 17, 2012	Sony Pictures Entertainment (SPE)	Marvel Comics
60	The Punisher	$33,810,189	2,649	$14,000,000	2,649	Apr 16, 2004	Lionsgate	Marvel Comics
61	Elektra	$24,409,722	3,204	$12,804,793	3,204	Jan 14, 2005	Twentieth Century Fox	Marvel Comics
62	The New Mutants	$23,852,659	2,754	$7,037,017	2,412	Aug 28, 2020	20th Century Studios	Marvel Comics
63	Howard the Duck	$16,295,774	1,563	$5,070,136	1,554	Aug 1, 1986	Universal Pictures	Marvel Comics
64	Punisher: War Zone	$8,050,977	2,508	$4,271,451	2,508	Dec 5, 2008	Lionsgate	Marvel Comics
65	Spider-Man/Men in Black IIDouble Bill	$6,632,970	2,078	$2,111,862	2,078	Sep 6, 2002	Sony Pictures Entertainment (SPE)	Marvel Comics
66	Once Upon a Deadpool2018 Re-release	$6,100,309	1,566	$2,683,200	1,566	Dec 12, 2018	Twentieth Century Fox	Marvel Comics
67	Inhumans	$1,521,787	393	$1,135,440	393	Sep 1, 2017	IMAX	Marvel Comics
68	Guardians of the Galaxy2020 Re-release	$542,000	1,560	$406,000	1,560	Nov 13, 2020	Walt Disney Studios Motion Pictures	Marvel Comics
69	Iron Man2020 Re-release	$430,000	462	$430,000	462	Jul 17, 2020	Walt Disney Pictures	Marvel Comics
70	Black Panther2020 Re-release	$367,000	421	$367,000	421	Jul 10, 2020	Walt Disney Pictures	Marvel Comics
